scenario,experiment,model_treatment,authority,condition,evidence_profile,seed,attack_detection,correct_containment,attack_safe_success,benign_specificity,false_belief,false_containment,proportionality,finalised,grounded_finalised,repair_required
scenario2,exp004-replacement-attempt2-20260904200401-2071270f,combined,,attack/benign,COMPLETE,101/202,7/12,4/12,,,4/12,2/12,225/240,,,
scenario2,exp004-replacement-attempt2-20260904200401-2071270f,combined,,attack/benign,AMBIGUOUS,101/202,7/12,5/12,,,1/12,1/12,225/240,,,
